Country,EA,EAM,EAF,AFF,ANE,AME,CY,SA,CP,LA,LCP,ARL,AGL
Tuvalu,24.12561716,25.0602012,22.96248497,10.50301984,0,10,3656.505885,30,17824090.07,30,4600273.024,7609982.275,18
Tanzania,65.66999817,64.02999878,67.44999695,27.86859947,22200,36030,1568.3,947300,10304518,885800,6570362,13500000,396500
Uganda,72.44999695,67.90000153,77.16999817,23.24438409,12120,17390,2049.5,241550,3756632,200520,1832931,6900000,144150
Uruguay,8.359999657,12.07999992,3.74000001,5.83152758,7500,18840,5007.7,176220,3386271,175020,676217,1976900,140159
Uzbekistan,26.64999962,27.86000061,24.92000008,27.95060107,13440,22550,4055.9,448924,11718663,440555,2889276,4064500,255777
"Venezuela, RB",7.539999962,11.65999985,0.99000001,10.50301984,12330,27540,3395,912050,1850657,882050,545112,2600000,215000
Samoa,30.85000038,43.11999893,6.900000095,9.76989144,50,150,3656.505885,2840,17824090.07,2830,4600273.024,32500,757
"Yemen, Rep.",28.30999947,27.21999931,43.34000015,5.000962579,3310,4880,759.2,527970,478317,527970,630061,1097700,233877
Zambia,50.11000061,45.20999908,55.5,3.341146543,13740,10710,2157.8,752610,2606609,743390,1208016,3800000,238360
Zimbabwe,66.01999664,62.40000153,69.54000092,5.073999636,4710,6430,579.1,390760,950627,386850,1641701,4000000,162000
